ID,Station Name,Street Address,City,ZIP,Latitude,Longitude,Location, # of Level1,#of level 2,Super chager,number of chager,Service ability(daily)
58234,MP 102 LLC,1214 Fifth Avenue,New York,10029,40.7912673,-73.9520388,"(40.7912673, -73.9520388)",,2,,2,32
82009,iPark - Tesla,116 E 98th St,New York,10029,40.787343,-73.951003,"(40.787343, -73.951003)",,3,,3,48
89499,Manhattan Parking Group - Tesla,10 E 102nd St,New York ,10029,40.79136,-73.952155,"(40.79136, -73.952155)",,2,,2,32
72906,GMC Parking - 200 Cabrini Blvd - Station 1,200  Cabrini Blvd,New York,10033,40.854575,-73.938954,"(40.854575, -73.938954)",,1,,1,16
73025,GMC Parking - Travelers Garage,200  Cabrini Blvd,New York,10033,40.73431396,-74.00195313,"(40.7343139648, -74.001953125)",,1,,1,16
95779,Castle Village Parking Garage,200 Cabrini Boulevard,New York,10033,40.854693,-73.939432,"(40.854693, -73.939432)",,1,,1,16
94854,Spectrum,401 W 219th St,New York,10034,40.87121,-73.911616,"(40.87121, -73.911616)",,8,,8,128
38981,EDISONPARKFAST,50 W 44th St,New York,10036,40.7558587,-73.9824966,"(40.7558587, -73.9824966)",,,1,1,32
41255,BEAM CHARGING,38 W 46th St,New York,10036,40.7566757,-73.9808273,"(40.7566757, -73.9808273)",1,1,,2,24
48048,CARCHARGING,1114 6th Ave,New York,10036,40.7552452,-73.9834061,"(40.7552452, -73.9834061)",,1,,1,16
49581,CARCHARGING,450 WEST 42nd St.,New York,10036,40.759041,-73.994972,"(40.759041, -73.994972)",1,2,,3,40
56055,CARCHARGING,550 W 45th St,New York,10036,40.76221,-73.99658,"(40.76221, -73.99658)",,2,,2,32
56090,CARCHARGING,400 W 43rd St,New York,10036,40.7592891,-73.9927766,"(40.7592891, -73.9927766)",,1,,1,16
67747,Quik Park - Tesla,1133 6th Ave,New York,10036,40.756071,-73.98392,"(40.756071, -73.98392)",,2,,2,32
74407,Quik Park - Tesla,600 W 42nd St,New York,10036,40.760994,-73.998699,"(40.760994, -73.998699)",,2,,2,32
74428,GGMC Parking - Tesla,350 W 43rd St,New York,10036,40.758503,-73.991285,"(40.758503, -73.991285)",,2,,2,32
74457,Parkright - Tesla,670 W 43rd St,New York,10036,40.762496,-74.00017,"(40.762496, -74.00017)",,2,,2,32
76683,Manhattan Plaza Parking,427 W 42nd St,New York,10036,40.758936,-73.993842,"(40.758936, -73.993842)",,,1,1,32
47395,CARCHARGING,25 Beekman St,New York,10038,40.7106361,-74.0061951,"(40.7106361, -74.0061951)",1,1,,2,24
89475,Rapidpark - Tesla,25-27 Beekman St,New York,10038,40.710786,-74.006017,"(40.710786, -74.006017)",,2,,2,32
78086,Icon Parking - Tesla,238 Pearl St,New York,10063,40.707547,-74.005057,"(40.707547, -74.005057)",,2,,2,32
43263,BEAM CHARGING,205 E 63rd St,Manhattan,10065,40.7639046,-73.9644852,"(40.7639046, -73.9644852)",1,1,,2,24
51681,BEAM CHARGING,860 5th Ave,New York,10065,40.769134,-73.968707,"(40.769134, -73.968707)",,2,,2,32
51682,BEAM CHARGING,1081 3rd Ave,New York,10065,40.764341,-73.96408,"(40.764341, -73.96408)",,2,,2,32
56064,CARCHARGING,337 E 64th St,New York,10065,40.76321,-73.960218,"(40.76321, -73.960218)",,2,,2,32
72888,Central Parking - 222 E 65th St- Station 1,222  E 65th St,New York,10065,40.7646162,-73.9622283,"(40.7646162, -73.9622283)",,1,,1,16
72916,Central Parking - 222 E 65th St- Station 2,222  E 65th St,New York,10065,40.7646162,-73.9622783,"(40.7646162, -73.9622783)",,1,,1,16
74452,ParkIt - Tesla,301 E 64th St,New York,10065,40.763706,-73.96197,"(40.763706, -73.96197)",,2,,2,32
74458,Prime Parking Systems - Tesla,155 E 68th St,New York,10065,40.767847,-73.96406,"(40.767847, -73.96406)",,2,,2,32
79764,Loews Regency - Tesla,540 Park Ave,New York,10065,40.764594,-73.969321,"(40.764594, -73.969321)",,2,,2,32
79767,Icon Parking - Tesla,205 E 63rd St,Manhattan,10065,40.76399,-73.964611,"(40.76399, -73.964611)",,2,,2,32
79768,Enterprise Parking - Tesla,200 E 69th St,Manhattan,10065,40.767433,-73.961798,"(40.767433, -73.961798)",,2,,2,32
80332,GMC Parking - Tesla,111 E 82nd St,New York,10065,40.777361,-73.95855,"(40.777361, -73.95855)",,2,,2,32
82012,iPark - Tesla,3 E 67th St,New York,10065,40.769202,-73.969214,"(40.769202, -73.969214)",,2,,2,32
89461,GMC Parking - Tesla,124 E 63rd St,New York,10065,40.7758,-73.95087,"(40.7758, -73.95087)",,2,,2,32
89480,City Parking - Tesla,425 E 61st St,New York,10065,40.760289,-73.959501,"(40.760289, -73.959501)",,2,,2,32
74462,Quik Park - Tesla,180 Riverside Blvd,New York,10069,40.778397,-73.987899,"(40.778397, -73.987899)",,2,,2,32
